Issued_Date,Permit__,Status,Designation,Project_Description,Permit_Type,Address,Valuation,Fees_Paid,Square_Feet,Finaled_Date,ObjectId
2022/02/22 06:00:00+00,2022-02-243,Expired,Commercial,"FOUNDATION REPAIR-
BLDG 1136(2195,2194,2193,2192)

**REGISTRATION PENDING PAYMENT**",Foundation Repair,"1100 HIDDEN RIDGE DR, BLDG 1136, Irving TX 75038","$13,090.00",$125.00,0,,25
2022/02/22 06:00:00+00,2022-02-260,Expired,Commercial,install meter base and disconnect,Electrical Standalone,"900 E SIXTH ST, IRVING TX 75060",$500.00,$52.00,100,,26
2022/02/22 06:00:00+00,E2202-0055,Project Finaled / Closed,Commercial,"ELECTRICAL >> RETAIL >> Clean and Show permit for vacancy
ONCOR CONFIRMATION NUMBER: #7563982",Electrical Standalone,"1800 MARKET PLACE BLVD, 170, Irving TX 75063",$0.00,$52.00,0,2022/02/22 06:00:00+00,27
2022/02/22 06:00:00+00,GEN2202-0003,Expired,Commercial,GENERATOR >> COMMERCIAL >> TMO Generator / BU #825896 / Ap #596897,Generator,"1810 S STORY RD, Irving TX 75060","$15,000.00",$156.00,0,,28
2022/02/22 06:00:00+00,2022-02-271,Project Finaled / Closed,Commercial,Install new irrigation,Irrigation Permit,"1900 E STATE HIGHWAY 356, Irving TX 75060","$3,000.00",$160.00,0,2022/02/23 06:00:00+00,29
2022/02/22 06:00:00+00,B2201-0039,Project Finaled / Closed,Commercial,COMMERCIAL BUILDING>>OFFICE (BUSINESS)>>REMODEL OF OFFICE SPACE (INCLUDES A C/O),Alteration/Renovation,"909 LAKE CAROLYN PKWY, 220, Irving TX 75039","$77,000.00",$482.50,2243,2022/04/08 05:00:00+00,30
2022/02/22 06:00:00+00,S2112-0030,Project Finaled / Closed,Commercial,SIGN>>POLE SIGN>>REFACE 102SF POLE SIGN,Sign,"520 W AIRPORT FWY, IRVING TX 75062","$8,500.00",$75.00,102,2022/06/07 05:00:00+00,31
2022/02/22 06:00:00+00,S2112-0029,Project Finaled / Closed,Commercial,SIGN>>WALL SIGN>>NEW 91SF WALL SIGN,Sign,"520 W AIRPORT FWY, IRVING TX 75062","$2,500.00",$100.00,0,2022/06/07 05:00:00+00,32
2022/02/22 06:00:00+00,2022-02-287,Project Finaled / Closed,Commercial,Replaced 20 gal electric water heater,Plumbing Standalone,"2400 W IRVING BLVD, Irving TX 75061","$2,825.00",$52.00,0,2022/02/23 06:00:00+00,33
2022/02/22 06:00:00+00,2022-02-273,Project Finaled / Closed,Commercial,Replace service to building,Electrical Standalone,"2122 PARKSIDE AVE, IRVING TX 75061","$1,000.00",$52.00,0,2022/10/06 05:00:00+00,34
2022/02/23 06:00:00+00,2022-02-291,Expired,Commercial,NEW SIGN FOR WORKSUITES,Sign,"511 E JOHN W CARPENTER FWY, Irving TX 75039","$5,000.00",$150.00,0,,35
2022/02/23 06:00:00+00,2022-02-288,Expired,Commercial,"Proposal to install 6 40 amp car chargers, 2 each per first three floors of existing parking garage.2 240 volt circuits per floor to be fed out of CH panel on first floor of parking garage install 1” conduit per each floor and 2 60 amp disconnects.First floor run 200’Second floor 225’Third floor 250’6 40 amp circuits",Electrical Standalone,"6445 LOVE DR, Irving TX 75039","$22,300.00",$52.00,123,,36
2022/02/23 06:00:00+00,S2202-0027,Expired,Commercial,SIGN>>MONUMENT SIGN>>New Small Monument,Sign,"1013 E PIONEER DR, Irving TX 75061","$8,000.00",$50.00,0,,37
2022/02/23 06:00:00+00,S2202-0028,Expired,Commercial,SIGN>>MONUMENT SIGN>>NEW 22.5SF MONUMENT,Sign,"1023 E PIONEER DR, IRVING TX 75061","$8,000.00",$50.00,0,,38
2022/02/23 06:00:00+00,2022-02-100,Project Finaled / Closed,Commercial,Chain Link With Barbed Wire 8' X 230',Fence,"110 E HUNTER FERRELL RD, Irving TX 75060","$17,798.00",$0.00,0,2022/06/29 05:00:00+00,39
2022/02/24 06:00:00+00,B2201-0313,Expired,Commercial,REMOVAL OF 2 INTERIOR STAIR RISERS THAT GO TO PLATFORM. STAIR PLATFORM TO REMAIN,Alteration/Renovation,"2823 W IRVING BLVD, Irving TX 75061","$50,000.00",$52.00,200,,40
2022/02/24 06:00:00+00,B2201-0007,Project Finaled / Closed,Commercial,Complete remodel of 1st and 2nd floor of clubhouse,Alteration/Renovation,"1929 E GRAUWYLER RD, IRVING TX 75061","$80,000.00",$603.13,2221,2022/12/13 06:00:00+00,41
2022/02/24 06:00:00+00,2022-02-111,Project Finaled / Closed,Commercial,CO FOR A Beauty Salon,Certificate of Occupancy,"555 W AIRPORT FWY, 136, Irving TX 75062",$0.00,$105.00,900,2022/04/20 05:00:00+00,42
2022/02/25 06:00:00+00,B2202-0010,Project Finaled / Closed,Commercial,"COMMERCIAL BUILDING >> OFFICE (BUSINESS) >> Worksuites
OFFICE REMODEL FOR FULL FLOOR TENANT",Alteration/Renovation,"511 E JOHN W CARPENTER FWY, 500, Irving TX 75039","$1,250,000.00","$3,614.23",20551,2022/08/05 05:00:00+00,43
2022/02/25 06:00:00+00,B2201-0218,Expired,Commercial,COMMERCIAL BUILDING >> OFFICE (MED/DENTAL) >> Interior Remodel,Alteration/Renovation,"7805 N MACARTHUR BLVD, 100, Irving TX 75063","$200,000.00",$862.50,4000,,44
2022/02/25 06:00:00+00,2022-02-366,Project Finaled / Closed,Commercial,GAS PRESSURE TEST,Plumbing Standalone,"1115 W SHADY GROVE RD, Irving TX 75060",$600.00,$52.00,0,2022/02/28 06:00:00+00,45
2022/02/25 06:00:00+00,B2112-0105,Permit Issued,Commercial,Walk up ATM in parking lot,Accessory Structure,"3445 N BELT LINE RD, IRVING TX 75062","$21,958.00","$1,206.25",72,,46
2022/02/25 06:00:00+00,B2201-0069,Project Finaled / Closed,Commercial,"Office Interior Remodel, Exterior facade renovation",Alteration/Renovation,"1400 S LOOP 12, Irving TX 75060","$632,000.00","$1,637.50",8000,2022/09/27 05:00:00+00,47
2022/02/25 06:00:00+00,2022-02-359,Expired,Commercial,Change out Ceiling Fixtures and clean up electrical work from water damage,Electrical Standalone,"4441 W JOHN W CARPENTER FWY, 8TH FLR, Irving TX 75063","$15,000.00",$52.00,500,,48
2022/02/28 06:00:00+00,B2111-0128,Expired,Commercial,COMMERCIAL BUILDING>>CARPORT>>Add attached carport to commercial building,Accessory Structure,"1811 E IRVING BLVD, Irving TX 75060","$18,000.00",$482.50,2275,,49
2022/02/28 06:00:00+00,B2202-0051,Project Finaled / Closed,Commercial,INTERIOR REMODEL OF OFFICE SPACE,Alteration/Renovation,"105 DECKER DR, 600, IRVING TX 75062","$500,000.00","$2,406.56",12822,2022/06/07 05:00:00+00,50
2022/03/25 05:00:00+00,2022-03-795,Project Finaled / Closed,Commercial,"CREATE WHITEBOX SUITE
*CROSS BUILDING GROUP LLP CONFIRMED VIA CALL ON 05/06/2022 THAT THERE WILL BE NO ELECTRICAL, MECHANICAL, AND PLUMBING WORK BEING DONE*",Alteration/Renovation,"7601 N MACARTHUR BLVD, 198, Irving TX 75063","$47,000.00",$208.00,4470,2022/09/27 05:00:00+00,51
2022/03/25 05:00:00+00,2022-03-1270,Project Finaled / Closed,Commercial,INTERIOR REMODEL FOR A NEW TENANT,Alteration/Renovation,"545 E JOHN W CARPENTER FWY, 975, Irving TX 75039","$186,777.00",$705.88,3105,2022/05/20 05:00:00+00,52
2022/03/28 05:00:00+00,2022-03-1314,Expired,Commercial,"THIS IS FOR A CLEAN AND SHOW, NO ELECTRICAL WORK",Electrical Standalone,"4137 N STORY DR, IRVING TX 75038",$0.00,$52.00,0,,53
2022/03/28 05:00:00+00,B2111-0009,Project Finaled / Closed,Commercial,PROPOSE A RECEPTION AREA NEW WALL AND NEW DOOR,Alteration/Renovation,"100 W AIRPORT FWY, Irving TX 75061","$20,000.00",$482.50,400,2022/05/04 05:00:00+00,54
2022/03/28 05:00:00+00,2022-03-1317,Expired,Commercial,"REBRICK SIDE WALL HALFWAY UP, THE BACK WALL WILL ALL COLONIAL LAP SIDING",Alteration/Renovation,"3725 W NORTHJGATE DR, IRVING  TX ","$8,500.00",$52.00,0,,55
2022/03/28 05:00:00+00,B2202-0027,Project Finaled / Closed,Commercial,REMODEL FOR STARBUCKS,Alteration/Renovation,"4970 N OCONNOR RD, 100, Irving TX 75062","$650,000.00",$902.28,3513,2022/11/02 05:00:00+00,56
2022/03/28 05:00:00+00,2022-03-903,Expired,Commercial,Install Dumpster Enclosure,Fence,"4970 N O'Connor Rd, Irving TX 75062","$5,000.00",$50.00,500,,57
2022/03/28 05:00:00+00,2022-03-1208,Project Finaled / Closed,Commercial,Furnish & Install 17.5 ton RTU like for like,Mechanical Standalone,"5550 N MACARTHUR BLVD, Irving TX 75038","$27,460.00",$52.00,42000,2022/04/05 05:00:00+00,58
2022/03/28 05:00:00+00,2022-03-738,Project Finaled / Closed,Commercial,"PHASE 2 FIRST TIME FINISH-OUT:  Build new offices, showroom, and restrooms (no c/o -- that was on the 1st Phase) (includes exterior facade, paving work)",Alteration/Renovation,"2201 CHEMSEARCH BLVD, Irving  TX 75062","$6,000,000.00","$45,295.50",326864,2023/02/20 06:00:00+00,59
2022/03/28 05:00:00+00,2022-03-1324,Project Finaled / Closed,Commercial,GAS LINE REPAIR & CODE UPGRADES FOR RECONNECTION,Plumbing Standalone,"5101 FRYE RD, Irving TX 75061","$5,000.00",$52.00,0,2022/03/29 05:00:00+00,60
2022/03/29 05:00:00+00,2022-03-1334,Expired,Commercial,Wire new automatic wash,Electrical Standalone,"2211 N O'Connor Rd, Irving TX 75062","$1,000.00",$52.00,1200,,61
2022/03/29 05:00:00+00,2022-03-1335,Expired,Commercial,"Per inspector, Install backflow device at mop sink",Plumbing Standalone,"2705 N BELT LINE RD, Irving TX 75062",$500.00,$52.00,500,,62
2022/03/29 05:00:00+00,2022-03-717,Expired,Commercial,Install illuminated channel letters on the north elevation of the building,Sign,"1701 KINWEST PKWY, Irving TX 75063","$8,000.00",$50.00,25.34,,63
2022/03/29 05:00:00+00,2022-03-718,Expired,Commercial,Install illuminated channel letters on North elevation of building,Sign,"2101 Kinwest Pkwy, Irving TX 75063","$8,000.00",$50.00,26,,64
2022/03/29 05:00:00+00,2022-03-720,Expired,Commercial,Install non-illuminated letters on existing stone monument wall,Sign,"2101 KINWEST PKWY, Irving TX 75063","$2,000.00",$35.00,36.65,,65
2022/03/29 05:00:00+00,2022-03-721,Expired,Commercial,Install non-illuminated letters on existing stone monument wall,Sign,"2101 KINWEST PKWY, Irving TX 75063","$2,000.00",$35.00,36.65,,66
2022/03/29 05:00:00+00,2022-03-1346,Project Finaled / Closed,Commercial,CO: BAYLOR SCOTT AND WHITE MEDICAL AND SURGICAL CLINIC - PRIMARY CARE,Certificate of Occupancy,"400 W INTERSTATE HWY 635, 220, Irving TX 75063",$0.00,$105.00,2790,2022/03/31 05:00:00+00,67
2022/03/29 05:00:00+00,2022-03-1348,Project Finaled / Closed,Commercial,Remove and replace 1 HVAC roof top units.,Mechanical Standalone,"1800 W IRVING BLVD, Irving TX 75060","$9,652.07",$52.00,10000,2023/01/10 06:00:00+00,68
2022/03/29 05:00:00+00,B2104-0358,Project Finaled / Closed,Commercial,EXTEND KITCHEN INTO ADJACENT LEASE SPACE,Alteration/Renovation,"3662 N BELT LINE RD, IRVING TX 75062","$3,000.00",$607.50,960,2023/10/03 05:00:00+00,69
2022/03/29 05:00:00+00,2022-03-678,Expired,Commercial,"REMOVE GRASS AND DIRT LEVEL LOTS & POUR 4"" CONCRETE
PER CONTRACTOR IT'S 8000' SQ FT OF CONCRETE",Flatwork,"4440 W AIRPORT FWY, Irving TX 75061","$140,000.00",$52.00,20000,,70
2022/03/29 05:00:00+00,2022-03-1183,Project Finaled / Closed,Commercial,CO: LIBER DATA SYSTEMS,Certificate of Occupancy,"400 E ROYAL LN, 280, IRVING TX 75039",$0.00,$105.00,649,2022/04/04 05:00:00+00,71
2022/03/29 05:00:00+00,2022-03-1361,Project Finaled / Closed,Commercial,CO - TALENT CORPORATION LLC,Certificate of Occupancy,"8113 RIDGEPOINT DR, 201, IRVING TX 75063",$0.00,$105.00,3208,2022/04/20 05:00:00+00,72
2022/03/29 05:00:00+00,2022-03-1365,Expired,Commercial,1ST BANNER 2022 START DATE 04/04/ THRU 04/18/2022 SIZE 4'X8',Banner,"1004 S STORY RD, Irving TX 75060",$100.00,$35.00,0,,73
2022/03/29 05:00:00+00,2022-03-1222,Project Finaled / Closed,Commercial,install one illuminated sign on East stroefront elevation,Sign,"515 N Loop 12, irving TX 75061","$3,600.00",$50.00,37.1,2022/07/19 05:00:00+00,74
2022/03/29 05:00:00+00,2022-03-1221,Project Finaled / Closed,Commercial,Install one illuminated can sign on East elevation store frontage,Sign,"515 N loop 12, irving TX 75061","$4,200.00",$150.00,101.57,2022/07/19 05:00:00+00,75
2022/03/29 05:00:00+00,2022-03-1363,Expired,Commercial,40 gallon electric water heater,Plumbing Standalone,"1550 W WALNUT HILL LN, IRVING TX 75038","$2,000.00",$52.00,100,,76
2022/03/29 05:00:00+00,2022-03-1372,Expired,Commercial,Refreshing the old Texaco letters on the canopy to the updated Texaco letters,Sign,"2810 N Belt Line Rd, Irving TX 75062",$450.00,$50.00,22,,77
2022/03/29 05:00:00+00,2022-03-1374,Expired,Commercial,Replacing the existing star logo on the gas station canopy to the new Texaco letters,Sign,"2810 N Belt Line Rd, Irving TX 75062",$450.00,$50.00,22,,78
2022/03/30 05:00:00+00,2022-03-1430,Project Finaled / Closed,Commercial,"REPLACE DEVICES & WIRING NEED. ADD CIRCUITS FOR NEW EQUIPMETN, CORRECT WIRING IN WALLS & CEILING FOR ELECTRICAL INSPECTIONS",Electrical Standalone,"100 W AIRPORT FWY, Irving TX 75061","$25,000.00",$52.00,0,2022/04/22 05:00:00+00,79
2022/03/30 05:00:00+00,2022-03-1407,Project Finaled / Closed,Commercial,CLEAN AND SHOW,Electrical Standalone,"8306 STERLING ST, IRVING TX 75060",$0.00,$52.00,0,2022/04/04 05:00:00+00,80
2022/03/30 05:00:00+00,E2201-0034,Project Finaled / Closed,Commercial,ETRAKIT ELECTRICAL>>APARTMENT>>Relocate 5 existing electrical outlets,Electrical Standalone,"3321 W WALNUT HILL LN, IRVING TX 75038","$3,500.00",$52.00,0,2022/06/07 05:00:00+00,81
2022/03/30 05:00:00+00,2022-03-534,Expired,Commercial,CREATE WHITE BOX,Alteration/Renovation,"2906 N MACARTHUR BLVD, IRVING TX ","$25,000.00",$208.00,748,,82
2022/03/30 05:00:00+00,2022-03-535,Expired,Commercial,CREATE WHITE BOX,Alteration/Renovation,"2908 N MACARTHUR BLVD, IRVING TX ","$25,000.00",$208.00,1389,,83
2022/03/30 05:00:00+00,B2202-0150,Expired,Commercial,"REMODEL FOR AN ICE CREAM SHOP (BUILD PONY WALL, ADD TWO FLOOR DRAINS, ETC).",Alteration/Renovation,"3621 N BELT LINE RD, Irving TX 75062","$15,000.00",$607.50,1086,,84
2022/03/30 05:00:00+00,2022-03-1398,Project Finaled / Closed,Commercial,"TENANT VACATED PROPERTY WOULD LIKE ELECTRICITY UNDER THE LANDLORD UNTIL THEY LEASE A NEW TENANT. 
900048620013 (NEW ACCOUNT # WITH TXU)",Electrical Standalone,"611 N MACARTHUR BLVD, 115, IRVING TX 75061",$0.00,$52.00,0,2022/04/01 05:00:00+00,85
2022/03/30 05:00:00+00,2022-03-1260,Project Finaled / Closed,Commercial,CO: JAVELIN OIL & GAS LLC,Certificate of Occupancy,"5221 N O'CONNOR BLVD, 1100, IRVING TX 75039",$0.00,$105.00,26004,2022/03/31 05:00:00+00,86
2022/03/30 05:00:00+00,2022-03-1375,Project Finaled / Closed,Commercial,,Electrical Standalone,"400 UNION BOWER CT, 416, Irving TX 75061",$0.00,$52.00,0,2022/03/31 05:00:00+00,87
2022/03/30 05:00:00+00,B2202-0103,Expired,Commercial,COMMERCIAL BUILDING >> OFFICE (BUSINESS) >> Finish Out - Office Remodel,Alteration/Renovation,"800 E AIRPORT FWY, IRVING TX 750624805","$435,000.00","$1,146.53",5623,,88
2022/03/30 05:00:00+00,2022-03-680,Project Finaled / Closed,Commercial,FINISH OUT FOR A SPA,Alteration/Renovation,"3575 W STORY RD, 120, Irving TX 75038","$49,000.00",$482.50,1500,2022/09/15 05:00:00+00,89
2022/03/31 05:00:00+00,CO2109-0105,Project Finaled / Closed,Commercial,CERTIFICATE OF OCCUPANCY>>CERTIFICATE OF OCCUPANCY>>CO:QUIROZ AUTO REPAIR,Certificate of Occupancy,"717 E IRVING BLVD, 100, IRVING TX ",$0.00,$140.00,10000,2022/03/31 05:00:00+00,90
2022/03/31 05:00:00+00,2022-03-1452,Project Finaled / Closed,Commercial,CLEAN & SHOW ****NO ELECTRICAL WORK BEING DONE*****,Electrical Standalone,"3401 W AIRPORT FWY, 210, Irving TX 75062",$0.00,$52.00,0,2022/04/04 05:00:00+00,91
2022/03/31 05:00:00+00,B2202-0105,Project Finaled / Closed,Commercial,"COMMERCIAL BUILDING >> INSTITUTIONAL >> Finish Out - Welding lab rooms Remodel
MWF: TULSA WELDING SCHOOL LAB BUILDING
PARRA, FRANK CHEVROLET INC",Alteration/Renovation,"850 E AIRPORT FWY, IRVING TX 750624805","$515,000.00","$3,340.63",22023,2023/02/13 06:00:00+00,92
2022/03/31 05:00:00+00,B2202-0104,Project Finaled / Closed,Commercial,"COMMERCIAL BUILDING >> OFFICE (BUSINESS) >> Finish Out - Office / Classroom Remodel
MWF: TULSA WELDING SCHOOL CLASSROOM BUILDING
1000, EAST AIRPORT FREEWAY LLC",Alteration/Renovation,"700 E AIRPORT FWY, Irving TX 75061","$950,000.00","$2,903.13",16000,2022/10/17 05:00:00+00,93
2022/03/31 05:00:00+00,2022-03-1448,Project Finaled / Closed,Commercial,CLEAN AND SHOW***NO ELECTRICAL WORK BEING DONE****,Electrical Standalone,"3401 W AIRPORT FWY, 108, Irving TX 75062",$0.00,$52.00,0,2022/04/04 05:00:00+00,94
2022/03/31 05:00:00+00,2022-03-1466,Project Finaled / Closed,Commercial,CLEAN & SHOW ***NO ELECTRICAL WORK BEING DONE***,Electrical Standalone,"2550 N BELT LINE RD, 2550, IRVING TX ",$0.00,$52.00,0,2022/04/04 05:00:00+00,95
2022/03/31 05:00:00+00,2022-03-1467,Expired,Commercial,CLEAN & SHOW ****NO ELECTRICAL WORK BEING DONE****,Electrical Standalone,"2610 N BELT LINE RD, IRVING TX ",$0.00,$52.00,0,,96
2022/03/31 05:00:00+00,2022-03-1469,Project Finaled / Closed,Commercial,CLEAN & SHOW ***NO ELECTRICAL WORK BEING DONE***,Electrical Standalone,"2648 N BELT LINE RD, IRVING TX ",$0.00,$52.00,0,2022/04/04 05:00:00+00,97
2022/03/31 05:00:00+00,2022-03-1478,Project Finaled / Closed,Commercial,"It's located in the Boiler Room ~ Replace Gas Line, Gas Test",Plumbing Standalone,"863 S Irving Heights Dr, Irving TX 75060","$1,500.00",$140.00,800,2022/04/04 05:00:00+00,98
2022/03/31 05:00:00+00,2022-03-1439,Expired,Commercial,"TEAR OFF OLD ROOF,MECHANICALLY ATTACH 2 LAYERS OF 2.1"" ISO,(R-25), ADHERE .060 TPO, INSTALL NEW SHEET METAL",Roof,"1111 VALLEY VIEW LN, Irving TX 75061","$1,525,930.00",$100.00,0,,99
2022/03/31 05:00:00+00,2022-03-1487,Project Finaled / Closed,Commercial,New Service on the Exterior,Electrical Standalone,"120 N ROGERS RD, IRVING TX 75061","$4,900.00",$52.00,5000,2022/04/21 05:00:00+00,100
2022/02/28 06:00:00+00,B2202-0003,Project Finaled / Closed,Commercial,Worksuites Expanding #400 into suite 436,Alteration/Renovation,"511 E JOHN W CARPENTER FWY, 400, Irving TX 75039","$750,000.00","$2,074.23",10695,2022/08/05 05:00:00+00,101
2022/02/28 06:00:00+00,2022-02-161,Expired,Commercial,FABRICATE AND INSTALL LIGHTED CHANNEL LETTER SIGN,Sign,"2000 ESTERS RD, Irving TX 75061","$2,800.00",$50.00,45,,102
2022/02/28 06:00:00+00,B2201-0284,Project Finaled / Closed,Commercial,"COMMERCIAL BUILDING >> RETAIL >> INTERIOR FINISH OUT, EXISTING 1000 SF OF RETAIL STORE EXPANSION",Alteration/Renovation,"555 W AIRPORT FWY, 148, Irving TX 75062","$45,000.00",$607.50,2000,2022/12/15 06:00:00+00,103
2022/02/28 06:00:00+00,2022-02-229,Expired,Commercial,Re pull feeder wire from 277/480 volt panel in the electric room.  Install new panel interior terminate branch wires on breakers.  Reland feeder wires on main 400 amp breaker.  Run new 3/0 copper conductors from 277/480 volt panel to the LV transformer approx 3 ft away in the same electric room. Energize and test after completion.,Electrical Standalone,"1621 W WALNUT HILL LN, Irving TX 75038","$20,000.00",$52.00,500,,104
2022/03/01 06:00:00+00,CO2108-0005,Project Finaled / Closed,Commercial,CERTIFICATE OF OCCUPANCY>>CERTIFICATE OF OCCUPANCY>>MWF - CATERPILLAR,Certificate of Occupancy,"5205 N O'CONNOR BLVD 110, 110, IRVING TX 75039",$0.00,$0.00,0,2022/03/01 06:00:00+00,105
2022/03/01 06:00:00+00,CO2108-0006,Project Finaled / Closed,Commercial,CERTIFICATE OF OCCUPANCY>>CERTIFICATE OF OCCUPANCY>>MWF:CATERPILLAR,Certificate of Occupancy,"5205 N O'CONNOR BLVD, 10TH FLR, Irving TX 75039",$0.00,$0.00,0,2022/03/01 06:00:00+00,106
